entity,cpu_busy_percent,sample-date
nurswgvml007,7.0,2016-06-28T14:48:21.000Z
nurswgvml007,5.9,2016-06-28T14:48:37.000Z
nurswgvml007,6.1,2016-06-28T14:48:53.000Z
nurswgvml007,2.0,2016-06-28T14:49:09.000Z
nurswgvml006,7.1,2016-06-28T14:48:25.000Z
nurswgvml006,3.0,2016-06-28T14:48:41.000Z
nurswgvml006,3.0,2016-06-28T14:48:57.000Z
nurswgvml102,1.0,2016-06-28T14:48:23.000Z
nurswgvml102,0.0,2016-06-28T14:48:39.000Z
nurswgvml102,3.0,2016-06-28T14:48:55.000Z
nurswgvml010,0.2,2016-06-28T14:48:12.000Z
nurswgvml010,0.2,2016-06-28T14:48:28.000Z
nurswgvml010,0.0,2016-06-28T14:48:44.000Z
nurswgvml010,14.1,2016-06-28T14:49:01.000Z
nurswgvml011,2.0,2016-06-28T14:48:21.000Z
nurswgvml011,10.1,2016-06-28T14:48:37.000Z
nurswgvml011,5.9,2016-06-28T14:48:53.000Z
nurswgvml011,3.0,2016-06-28T14:49:09.000Z
nurswgvml011,4.0,2016-06-28T14:49:25.000Z
nurswgvml011,2.0,2016-06-28T14:49:41.000Z
nurswgvml011,0.0,2016-06-28T14:49:57.000Z
nurswgvml009,2.6,2016-06-28T14:48:17.000Z
nurswgvml009,2.5,2016-06-28T14:48:33.000Z
nurswgvml009,3.1,2016-06-28T14:48:49.000Z
nurswgvml009,0.5,2016-06-28T14:49:05.000Z
nurswgvml502,4.5,2016-06-28T14:48:17.000Z
nurswgvml502,1.5,2016-06-28T14:48:33.000Z
nurswgvml502,1.5,2016-06-28T14:48:49.000Z
nurswgvml502,0.0,2016-06-28T14:49:05.000Z
