"entity","datetime","value","tags.category"
"boi.org.il","2017-01-01T00:00:00.000Z","32.38","Clothing & footwear"
"boi.org.il","2017-01-01T00:00:00.000Z","118.68","Education, culture & entertainment"
"boi.org.il","2017-01-01T00:00:00.000Z","137.21","Food (excl. fruit & veg.)"
"boi.org.il","2017-01-01T00:00:00.000Z","29.38","Fruit & veg."
"boi.org.il","2017-01-01T00:00:00.000Z","36.94","Furniture & home equipment"
"boi.org.il","2017-01-01T00:00:00.000Z","58.273","Health"
"boi.org.il","2017-01-01T00:00:00.000Z","249.58","Housing"
"boi.org.il","2017-01-01T00:00:00.000Z","93.7","Housing maintenance"
"boi.org.il","2017-01-01T00:00:00.000Z","50.42","Miscellaneous"
"boi.org.il","2017-01-01T00:00:00.000Z","193.44","Transport & communic."
