"entity","datetime","value","tags.category"
"boi.org.il","2017-01-01 00:00:00","32.38","Clothing & footwear"
"boi.org.il","2017-01-01 00:00:00","118.68","Education, culture & entertainment"
"boi.org.il","2017-01-01 00:00:00","137.21","Food (excl. fruit & veg.)"
"boi.org.il","2017-01-01 00:00:00","29.38","Fruit & veg."
"boi.org.il","2017-01-01 00:00:00","36.94","Furniture & home equipment"
"boi.org.il","2017-01-01 00:00:00","58.273","Health"
"boi.org.il","2017-01-01 00:00:00","249.58","Housing"

"boi.org.il","2017-01-01 00:00:00","93.7","Housing maintenance"
"boi.org.il","2017-01-01 00:00:00","50.42","Miscellaneous"
"boi.org.il","2017-01-01 00:00:00","193.44","Transport & communic."
